Cons_No,Contract_Ac,Contract,Install_No,GIC_Code,Sch_No.,Leg_Ac_No,Meter_No,Meter_Typ,Tariff,PSC_Cons_IBC,IBC_Name,AMR_STATUS,Actual_Latitude,Actual_Longitude,DTS_ID,PMT_Name,FeederID_(BH),Feeder_Name_(BH),FeederID,Feeder_Name,CM_No
AL002321,400002172575,30529747,7000218259,D0302,2970,2752483139097,TU30245,Three,A1-R,125,CLIFTON,Non AMR,24.8215,66.9794583,7361,ANTHONIAN SOCIETY S/S,,,9,#N/A,0
LB492561,400043488129,34126839,7004064221,D0302,2970,,TU49107,Three,A3-G,125,CLIFTON,Non AMR,24.8201,66.9794,533008,PAKISTAN RAILWAYS CLIFTON D/PMT-122 LHS,,,1171,TARACHAND ROAD PMT-3,0
AL683282,400002204671,30536115,7000202949,D0302,2970,2952488114512,TZ92082,Three,A3-G,142,BIN QASIM,Non AMR,24.84473897,67.33939536,502357,BIN QASIM RAILWAY STATION,,,3869,ALLAH BUX HIMAYATI GOTH 02,0
LA257001,400002038062,30518378,7000203992,D0302,2970,2752381425400,86366,Single,A2-C,143,BALDIA,Non AMR,24.844844,66.9795129,,Null,,,Null,Null,0
AL472419,400002259220,30518202,7000206399,D0302,2970,2952488414516,TY58949,Three,A3-G,142,BIN QASIM,Non AMR,24.81276191,67.5011966,5711,OLD DHABEJI PMT,,,162,OLD DHABEJI PMT,0
AL076808,400002206240,30525231,7000214185,D0302,2970,2852484212237,CTO-70615,CTO,A1-R_TOD,148,SHAH FAISAL,AMR,24.88612535,67.12587744,2443,HAROON HOSP. PMT 02,,,3598,GULZAR E MADINA D/PMT 1,0
LB371323,400030714359,32968569,7002998017,D0302,2970,,TU89926,Three,A3-G,142,BIN QASIM,Non AMR,24.85369322,67.2151437,509237,CATTLE COL RD 07 D/ (LHS),,,386,JUMMA HIMAYATI GOTH PMT,0
AL643248,400002154143,30532274,7000200095,D0302,2970,2952486425308,TU42727,Three,A3-G,142,BIN QASIM,Non AMR,24.84343588,67.26943094,12213,JUMMA GOTH RAILWAY ST. 02,,,897,BARKAT MADINA 02(MEHMODIA),0
AP016820,400002188307,30533355,7000200309,D0302,2970,2852484272119,WT08104,Three,A3-G,148,SHAH FAISAL,Non AMR,24.88417729,67.17444822,2480,DACCA KNITWEAR PMT,,,3613,SIDDIQ GOTH PMT,0
AL060134,400002188161,30533339,7000200287,D0302,2970,2852484271694,TT92579,Three,A3-G,135,MALIR,Non AMR,24.87676587,67.19013546,2269,MALIR POLICE S/S,,,272,MALIR POLICE S/S,0
